S/N,Osun LGA's ,APC votes,PDP votes,Total votes,winner
1,Atakumosa East,7449,6992,14441,APC
2,Atakumosa West,6601,7750,14351,PDP
3,Ife Central,17880,13532,31412,APC
4,Ife East,19353,18071,37424,APC
5,Ife North,9964,10359,20323,PDP
6,Ife South,12481,9116,21597,APC
7,Ilesa East,13452,10969,24421,APC
8,Ilesa West,10777,13769,24546,PDP
9,Obokun,9727,13575,23302,PDP
10,Oriade,14189,15947,30136,PDP
11,Ayedade,14527,13380,27907,APC
12,Ayedire,7868,7402,15270,APC
13,Ede North,9603,23931,33534,PDP
14,Ede South,5704,19438,25142,PDP
15,Egbedore,9228,13230,22458,PDP
16,Ejigbo,18065,14355,32420,PDP
17,Irewole,18198,14216,32414,APC
18,Isokan,10833,10777,21610,APC
19,Iwo,17421,16914,34335,APC
20,Ola-Oluwa,9123,7205,16328,APC
21,Boluwaduro,5649,5860,11509,PDP
22,Boripe,21205,7595,28800,APC
23,Ifedayo,5016,4730,9746,APC
24,Ifelodun,16068,17107,33175,PDP
25,Ila,11163,13036,24199,PDP
26,Irepodun,12122,14369,26491,PDP
27,Odo-Otin,13482,14003,27485,PDP
28,Olorunda,18709,21350,40059,PDP
29,Orolu,9928,10282,20210,PDP
30,Osogbo,22952,30401,53353,PDP
,,,,,